loss,grad_norm,learning_rate,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
2.8906166553497314,,0.0,0.14285714285714285,1,,,,,
2.024061441421509,0.9178220629692078,0.0,0.2857142857142857,2,,,,,
2.5958564281463623,2.242534875869751,6.666666666666667e-05,0.42857142857142855,3,,,,,
2.136070728302002,0.9278188347816467,0.00013333333333333334,0.5714285714285714,4,,,,,
2.0922482013702393,0.8200019001960754,0.0002,0.7142857142857143,5,,,,,
1.4434852600097656,0.5760074853897095,0.00018888888888888888,0.8571428571428571,6,,,,,
2.001979351043701,0.6718031764030457,0.00017777777777777779,1.0,7,,,,,
1.9883337020874023,0.4901796579360962,0.0001666666666666667,1.1428571428571428,8,,,,,
1.4092590808868408,0.2698644995689392,0.00015555555555555556,1.2857142857142856,9,,,,,
1.6186522245407104,0.30535781383514404,0.00014444444444444444,1.4285714285714286,10,,,,,
1.4871459007263184,0.34728124737739563,0.00013333333333333334,1.5714285714285714,11,,,,,
1.7219326496124268,0.30620962381362915,0.00012222222222222224,1.7142857142857144,12,,,,,
2.496954917907715,0.4586569666862488,0.00011111111111111112,1.8571428571428572,13,,,,,
1.8375195264816284,0.3716544806957245,0.0001,2.0,14,,,,,
1.3109558820724487,0.35933390259742737,8.888888888888889e-05,2.142857142857143,15,,,,,
1.59938645362854,0.34751638770103455,7.777777777777778e-05,2.2857142857142856,16,,,,,
2.141592502593994,0.4155418574810028,6.666666666666667e-05,2.4285714285714284,17,,,,,
1.4748045206069946,0.29483088850975037,5.555555555555556e-05,2.571428571428571,18,,,,,
1.4708762168884277,0.3259914219379425,4.4444444444444447e-05,2.7142857142857144,19,,,,,
1.4233875274658203,0.3353653848171234,3.3333333333333335e-05,2.857142857142857,20,,,,,
2.1637754440307617,0.3921167850494385,2.2222222222222223e-05,3.0,21,,,,,
,,,3.0,21,194.4585,0.849,0.108,1763128777015296.0,1.8728045054844447
